,location_coordinates,Species,Region,Owner,Company,Country.of.Origin,Farm.Name,Mill,Lot.Number,ICO.Number,Altitude,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
1200,"14.3267661,-88.2027358",Arabica,intibuca,cafes finos de exportacion s de r.l.,cafes finos de exportacion s de r.l.,Honduras,various,cafes finos de exportacion s. de r.l.,,13-117-87,1350,Cooperativa Coaquil,275,2 kg,Instituto HondureÃ±o del CafÃ©,2014,"April 26th, 2014",CAFES FINOS DE EXPORTACION S DE R.L.,Pacas,Washed / Wet,7,7,7,7,7,7,10,10,10,7,79,0.11,0,0,Green,12,"April 26th, 2015",Instituto HondureÃ±o del CafÃ©,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1350,1350,1350
1201,"-5.1439514,-79.0286291",Arabica,san ignacio,sustainable harvest coffee,sustainable harvest,Peru,,,,030-0582-0050,1400,Frontera,280,69 kg,Specialty Coffee Association,2012,"January 8th, 2013",Sustainable Harvest Coffee,Typica,Washed / Wet,7.67,7.17,7.08,7.25,8,7.5,8.67,9.33,9.33,7,79,0,0,0,,4,"January 8th, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1400,1400,1400
1202,"17.0388955,-98.6822366",Arabica,"iliatenco, guerrero",gonzalo de aquino flores,cafÃ© monteabuelo s.a. de c.v.,Mexico,,"iliatenco, guerrero",,0,1300,GONZALO DE AQUINO FLORES,14,1 kg,AMECAFE,2012,"September 17th, 2012",GONZALO DE AQUINO FLORES,Mundo Novo,Natural / Dry,6.75,7.08,6.67,7.25,7.17,7.08,10,10,10,7,79,0.12,0,0,None,12,"September 17th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1300,1300,1300
1203,"23.9592508,-86.7979839",Arabica,zaragoza itundujia,israel eduardo paz garcia,cafeorganico.mx,Mexico,el sauce,"zaragoza itundujia, oaxaca",,2074632,1550,JUAN CRUZ RIAÃ‘O,16,1 kg,AMECAFE,2012,"September 12th, 2012",ISRAEL EDUARDO PAZ GARCIA,Typica,Semi-washed / Semi-pulped,7.5,7.17,6.92,7.5,7.25,7,8.67,10,10,7,79,0.14,3,0,Green,17,"September 12th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1550,1550,1550
1204,"15.6017484,-92.0442985",Arabica,amatenango de la frontera,juan avenamar rodriguez funez,cafÃ© pico de loro,Mexico,pico del oro,"el pacayal, amatenango de la frontera, chiapas",,F07016865,12oo,JUAN AVENAMAR RODRIGUEZ FUNEZ,120,1 kg,AMECAFE,2012,"August 30th, 2012",JUAN AVENAMAR RODRIGUEZ FUNEZ,Typica,Washed / Wet,7.17,6.83,6.83,7.25,7.17,6.92,10,10,10,6.83,79,0.14,7,0,Green,38,"August 30th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,12,12,12
1205,"16.1165703,-92.7396916",Arabica,"la concordia, chiapas",alfredo bojalil,ecomtrading,Mexico,santa teresa,amsa tuxtla,,2222,1300,AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV,250,1 kg,AMECAFE,2013,"March 12th, 2013",ALFREDO BOJALIL,Typica,Washed / Wet,7.33,7,6.75,7.08,7.17,7.25,9.33,10,10,7,78.92,0.12,0,0,Green,8,"March 12th, 2014",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1300,1300,1300
1206,"23.9592508,-86.7979839",Arabica,zaragoza itundujia,israel eduardo paz garcia,cafeorganico.mx,Mexico,la pandora,"zaragoza itundujia, oaxaca",,0,1400,LUISA ZUÃ‘IGA GARCÃA,14,1 kg,AMECAFE,2012,"September 17th, 2012",ISRAEL EDUARDO PAZ GARCIA,Typica,Washed / Wet,7.5,7,6.92,7.08,6.92,6.75,10,10,10,6.75,78.92,0.16,0,0,None,0,"September 17th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1400,1400,1400
1207,"13.920673,-86.1333685",Arabica,jalapa,"exportadora atlantic, s.a.",exportadora atlantic s.a,Nicaragua,finca las marÃ­as,beneficio atlantic condega,017-053-0211/053-0212,017-053-0211/053-0212,1100,TeÃ³filo NarvÃ¡ez,1,1 kg,Instituto HondureÃ±o del CafÃ©,2016,"May 22nd, 2017","Exportadora Atlantic, S.A.",Caturra,Other,7.17,7,6.92,7,7,7,10,10,10,6.75,78.83,0.1,0,2,Green,4,"May 22nd, 2018",Instituto HondureÃ±o del CafÃ©,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1100,1100,1100
1208,"19.6643179,-156.0255674",Arabica,kona,eileen koyanagi,kona pacific farmers cooperative,United States (Hawaii),,kona pacific farmers cooperative,,Specialty Coffee Association of America,,,11,2 lbs,Specialty Coffee Association,2013,"January 17th, 2014",Eileen Koyanagi,,Natural / Dry,7.5,6.92,6.92,7.25,7.58,7.42,9.33,9.33,9.33,7.17,78.75,0.12,5,0,Green,8,"January 17th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
1209,NA,Arabica,oriente,juan luis alvarado romero,"unex guatemala, s.a.",Guatemala,la castellana,beneficio ixchel,,11/23/1020,4300,AGRIPEC DE LA VEGA Y CIA.,250,69 kg,Asociacion Nacional Del CafÃ©,2013,"July 5th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.33,7.08,6.33,7.25,7,7,10,10,10,6.75,78.75,0.12,1,0,Green,8,"July 5th, 2014",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
1210,"19.7955274,-98.3884829",Arabica,veracruz,octavio augusto diaz trejo,empagri s.p.r. de r.l. de c.v.,Mexico,"la patrona, el trebol, la cadena","tlavictepan, huatusco",,0,1320,"JOSE VAZQUEZ CANTON, JOSE ANTONIO JIMENEZ GONZALEZ, IRENEO GARCIA VALDIVIA",20,1 kg,AMECAFE,2012,"August 1st, 2012",OCTAVIO AUGUSTO DIAZ TREJO,Typica,Washed / Wet,7.25,6.83,6.83,7,7.17,7,10,10,10,6.67,78.75,0.14,0,0,Green,0,"August 1st, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1320,1320,1320
1211,"19.7955274,-98.3884829",Arabica,veracruz,damaso martinez perez,,Mexico,el tesoro,el tesoro,,0,1250,DAMASO MARTINEZ PEREZ,35,1 kg,AMECAFE,2012,"July 16th, 2012",DAMASO MARTINEZ PEREZ,Typica,Semi-washed / Semi-pulped,7.25,7.33,7.17,7.25,7.08,7,8.67,10,10,7,78.75,0.14,0,0,None,0,"July 16th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1250,1250,1250
1212,"19.2836898,-96.9542786",Arabica,"ohuapan, tlaltetela","productores de especialidad emiliano zapeata, spr.",,Mexico,los encinos,,,11042707999,1350,"PEDRO HERRERA GUZMAN, AURELIO GABRIEL HERNANDEZ ,MARIA DE LOURDES DERISTAIN TRESS",10,1 kg,AMECAFE,2012,"June 6th, 2012","PRODUCTORES DE ESPECIALIDAD EMILIANO ZAPEATA, SPR.",Bourbon,Washed / Wet,7.67,7.17,6.83,7.33,7.58,7.17,9.33,10,8.67,7,78.75,0.12,0,0,,0,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1350,1350,1350
1213,"25.1146645,97.3683238",Arabica,yunnan,adam ciruli ye,yunnan louis herbs r& d center,China,alicia's farm,yunnan louis herbs r&d center,,LOUIS88,1850,Yunnan Louis Herbs R&D Center,1,2 kg,Specialty Coffee Association,2013,"April 26th, 2014",Adam Ciruli Ye,Typica,Washed / Wet,7,6.92,6.83,7.17,7.17,7.17,10,10,9.33,7.08,78.67,0,0,0,Green,5,"April 26th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1850,1850,1850
1214,"19.8657589,-96.7808959",Arabica,yecuatla,juan garcia hernandez,,Mexico,los pinos,los pinoslos pinos,,1104374276,1150,JUAN GARCIA HERNANDEZ,20,1 kg,AMECAFE,2012,"September 17th, 2012",JUAN GARCIA HERNANDEZ,Caturra,Washed / Wet,6.92,6.92,6.67,7.25,7.17,6.92,10,10,10,6.83,78.67,0.13,0,0,None,2,"September 17th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1150,1150,1150
1215,"13.7650391,-86.5370005",Arabica,nueva segovia,"exportadora atlantic, s.a.",exportadora atlantic s.a,Nicaragua,los saltarines,beneficio atlantic condega,017-053-0046,017-053-0046,,ADONIS JOSE ORTEZ BELTRAN,275,69 kg,Instituto HondureÃ±o del CafÃ©,2016,"February 17th, 2016","Exportadora Atlantic, S.A.",,,7.08,7,6.75,6.83,7.08,6.92,10,10,10,6.92,78.58,0.1,1,5,Green,7,"February 16th, 2017",Instituto HondureÃ±o del CafÃ©,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,NA,NA,NA
1216,NA,Arabica,,"exportadora atlantic, s.a.",exportadora atlantic s.a,Nicaragua,,,,017-053,,,275,2 kg,AsociaciÃ³n de CafÃ©s Especiales de Nicaragua,2014,"March 28th, 2015","Exportadora Atlantic, S.A.",,Natural / Dry,6.83,7.08,6.92,6.75,7.25,7.08,10,10,10,6.67,78.58,0.11,1,0,Green,1,"March 27th, 2016",AsociaciÃ³n de CafÃ©s Especiales de Nicaragua,fc561dd3c2eee024b032933e0a97b4aede0dc206,f79a8d4dee92a80ff14025f03ea34fa316b2132f,m,NA,NA,NA
1217,NA,Arabica,oriente,juan luis alvarado romero,outspan guatemala s.a.,Guatemala,various,las americas,,11/951/388,4000 psnm,VARIOS,250,69 kg,Asociacion Nacional Del CafÃ©,2014,"September 4th, 2014",Juan Luis Alvarado Romero,Other,Washed / Wet,7.33,7.17,6.92,7.58,7.25,7.17,8.67,9.33,10,7.17,78.58,0.12,0,0,Green,3,"September 4th, 2015",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2
1218,"23.2808691,120.3618505",Arabica,"dongshan dist., tainan city è‡ºå—å¸‚æ±å±±å€","lin, che-hao krude æž—å“²è±ª","red on tree co., ltd.",Taiwan,kan tou mountain coffee å´é ­å±±å’–å•¡é¤¨,kan tou mountain coffee å´é ­å±±å’–å•¡é¤¨,,Taiwan,800m,GUO JIUN HUNG éƒ­ä¿Šå® & TSENG RU FENG æ›¾å¦‚æ¥“,50,20 kg,Specialty Coffee Association,2013,"July 22nd, 2014","Lin, Che-Hao Krude æž—å“²è±ª",Typica,Washed / Wet,6.83,6.75,7.17,7.25,7,6.92,10,10,10,6.67,78.58,0.1,0,0,Green,0,"July 22nd, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,800,800,800
1219,"14.9267823,-92.5948076",Arabica,tapachula,alfredo bojalil,ecomtrading,Mexico,grapos el porvenir,agroindustrias unidas de mexico,,1506502938,1400,EPIFANIO GARCIA DE MIGUEL,250,1 kg,AMECAFE,2012,"July 26th, 2012",ALFREDO BOJALIL,Typica,Washed / Wet,7,7,6.75,7.33,6.92,6.92,10,10,10,6.67,78.58,0.13,0,0,Green,1,"July 26th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1400,1400,1400
1220,"15.9666664,-96.8420879",Arabica,cofradia de suchitlan,organizaciones de productores de cafe colimense,organizaciones de productores de cafe colimense sa de cv,Mexico,cofradia,beneficio de cafetaleros el remudadero s.p.r. de r.l.,,"703817078, 703817042, 700137443",1300,"J. CARMEN GUZMAN CONCEPCION, IGNACIO RAMIREZ BARAJAS, DIONICIO GARCIA RAMIREZ",50,1 kg,AMECAFE,2012,"July 2nd, 2012",ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,Washed / Wet,7.92,7.58,7.58,7.92,7.92,7.5,8,6.67,10,7.5,78.58,0.1,0,0,,1,"July 2nd, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1300,1300,1300
1221,"19.6643179,-156.0255674",Arabica,kona,kona pacific farmers cooperative,,United States (Hawaii),kona farms,,,HDOA 210542,,,8,100 lbs,Specialty Coffee Association,,"June 21st, 2011",Kona Pacific Farmers Cooperative,,,7.92,6.83,7.08,7.42,6.75,7.33,8.67,9.33,10,7.25,78.58,0,0,0,,0,"June 20th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
1222,"15.6496828,-92.8077702",Arabica,"sierra, chiapas",kurt kappeli,uniÃ³n de ejidos san fernando,Mexico,various,beneficio san fernando,,0016-2795-0008,1600 meters,Various small producers,280,69 kg,Specialty Coffee Association,2014,"April 26th, 2014",Kurt Kappeli,Bourbon,Washed / Wet,7.25,6.75,6.92,6.92,7.25,7.58,9.33,9.33,10,7.17,78.5,0,0,0,Green,0,"April 26th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1600,1600,1600
1223,"17.3618408,-96.2518805",Arabica,villa talea de castro,rosario miguel hernandez,villa talea cafÃ©,Mexico,finca sego,"villa talea de castro, oaxaca",,0,1400,REYNALDO OLIVERA RIOS,10,1 kg,AMECAFE,2012,"September 14th, 2012",ROSARIO MIGUEL HERNANDEZ,Typica,Washed / Wet,7.08,6.83,6.83,7,7,6.92,10,10,10,6.83,78.5,0.12,0,0,None,14,"September 14th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1400,1400,1400
1224,NA,Arabica,los angeles,francisco ruiz nunez,,Mexico,cerca de los angeles,beneficio seco de cafe de la soc. coop. tzotzilotic tzobolotic scl,,1506868415,1200,FRANCISCO RUIZ NUÃ‘EZ,20,1 kg,AMECAFE,2012,"July 26th, 2012",FRANCISCO RUIZ NUNEZ,Caturra,Washed / Wet,7.25,7.17,7,6.83,7.58,7.08,8.67,10,10,6.92,78.5,0.13,1,0,Green,3,"July 26th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1200,1200,1200
1225,"-18.7281397,-47.5325171",Arabica,monte carmelo,bourbon specialty coffees,bourbon specialty coffees,Brazil,santa maria,,,002/4542/0213,,Manoel Cardoso and Galileo Cardoso,300,60 kg,Brazil Specialty Coffee Association,2014/2015,"December 16th, 2014",BOURBON SPECIALTY COFFEES,Catuai,Natural / Dry,6.83,7,6.92,7.08,6.92,6.83,10,10,10,6.83,78.42,0.12,3,0,Green,4,"December 16th, 2015",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,NA,NA,NA
1226,"23.9592508,-86.7979839",Arabica,zaragoza itundujia,israel eduardo paz garcia,cafeorganico.mx,Mexico,el naranjo,"zaragoza itundujia, oaxaca",,0,1500,LAMBERTO JOSÃ‰ GARCÃA,10,1 kg,AMECAFE,2012,"September 14th, 2012",ISRAEL EDUARDO PAZ GARCIA,Typica,Washed / Wet,7.58,7.17,7,7.17,7.33,7,8,10,10,7.17,78.42,0.14,0,0,None,0,"September 14th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1500,1500,1500
1227,"19.6643179,-156.0255674",Arabica,kona,eileen koyanagi,kona pacific farmers cooperative,United States (Hawaii),,,,K#1 21614,,,5,100 lbs,Specialty Coffee Association,2014,"March 19th, 2014",Eileen Koyanagi,Hawaiian Kona,Natural / Dry,7.5,7.75,7.58,7.83,7.92,7.92,7.33,8,8.67,7.83,78.33,0.1,0,0,Bluish-Green,0,"March 19th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
1228,NA,Arabica,oriente,juan luis alvarado romero,outspan guatemala s.a.,Guatemala,various,las americas,,11-951-136,4000 p.s.n.m,VARIOS,275,69 kg,Asociacion Nacional Del CafÃ©,2014,"February 27th, 2014",Juan Luis Alvarado Romero,Other,Washed / Wet,7.17,6.5,6.67,7,7.17,7.17,10,10,10,6.67,78.33,0.1,0,0,Green,2,"February 27th, 2015",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2
1229,NA,Arabica,oriente,juan luis alvarado romero,"unex guatemala, s.a.",Guatemala,el sacramento,beneficio ixchel,,11/23/0334,4300,LUIS RODRIGUEZ,250,1 kg,Asociacion Nacional Del CafÃ©,2012,"February 7th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.17,7.17,6.5,7.17,7,6.83,10,10,10,6.5,78.33,0.11,1,0,Green,4,"February 7th, 2014",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
1230,"18.1370296,-96.8524287",Arabica,"xochitonalco, huautla        ",pablo cervantes morelos        ,asociaciÃ³n agricola local de productores de cafÃ© de huautla de jimenez        ,Mexico,llano hermoso,"llano hermoso, xochitonalco huautla, oaxaca",,0,1300,PABLO CERVANTES MORELOS        ,100,1 kg,AMECAFE,2012,"September 11th, 2012",PABLO CERVANTES MORELOS        ,Typica,Natural / Dry,7.25,7.25,7,7.5,7.33,7.42,8,9.33,10,7.75,78.33,0.13,31,0,Green,47,"September 11th, 2013",AMECAFE,3e18a5ae6f5e2aabca37e025f94e1974558bf5f0,e3212d17882b7657b3fba559b4072e552604d5d1,m,1300,1300,1300
1231,NA,Arabica,oriente,juan luis alvarado romero,"unex guatemala, s.a.",Guatemala,conquista / morito,beneficio ixchel,,11/23/0101,,Conquista/ Morito,250,1 kg,Asociacion Nacional Del CafÃ©,2012,"January 13th, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.17,6.08,6.17,7.25,7.33,7.33,10,10,10,7,78.33,0.11,0,0,Green,9,"January 12th, 2013",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,NA,NA,NA
1232,"19.6643179,-156.0255674",Arabica,kona,eileen koyanagi,kona pacific farmers cooperative,United States (Hawaii),,,,KP120314,,,18,100 lbs,Specialty Coffee Association,2014,"January 20th, 2015",Eileen Koyanagi,Hawaiian Kona,Natural / Dry,7.5,7.5,7.33,7.58,7.5,7.42,8.67,8.67,8.67,7.42,78.25,0.11,2,0,Green,8,"January 20th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
1233,"19.6643179,-156.0255674",Arabica,kona,kona pacific farmers cooperative,kona pacific farmers cooperative,United States (Hawaii),,,,2209401 KONA PRIME,,,5,100 lbs,Specialty Coffee Association,2012,"May 24th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.42,7.33,7.33,7.5,7.67,7.75,8,8.67,9.33,7.25,78.25,0.11,4,0,Green,31,"May 24th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
1234,"-8.0588232,114.2352035",Arabica,ijen,sanjava coffee,pt. shriya artha nusantara,Indonesia,various,east java,sran-ijen,,1300,vary farms,2,1 kg,Specialty Coffee Association of Indonesia,2016,"July 18th, 2017",SanJava Coffee,Java,Washed / Wet,6.92,6.83,6.92,6.92,6.92,6.83,10,10,10,6.83,78.17,0.13,0,0,,1,"July 18th, 2018",Specialty Coffee Association of Indonesia,99fa73db21b7acd9c9ceb9dd84e409d2077d55c4,36910838db193ebdd61fa1427bac74622114c49a,m,1300,1300,1300
1235,"18.8901707,-96.9751108",Arabica,cordoba,gustavo amieva gonzalez,,Mexico,,"cordoba, ver.",,1104341113,1050,CONSUELO GONZALEZ GOMEZ,320,1 kg,AMECAFE,2012,"July 11th, 2012",GUSTAVO AMIEVA GONZALEZ,Typica,Washed / Wet,7.08,6.83,6.67,7.25,7.25,6.92,10,9.33,10,6.75,78.08,0.11,0,0,Green,3,"July 11th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1050,1050,1050
1236,"23.2808691,120.3618505",Arabica,"å°å—å¸‚æ±å±±å€( dongshan dist., tainan city)","lin, che-hao krude æž—å“²è±ª",taiwan coffee laboratory,Taiwan,å¤§é‹¤èŠ±é–“ (hoe vs. flower coffee farm),å¤§é‹¤èŠ±é–“ (hoe vs. flower coffee farm),2017å°å—å¸‚ç²¾å“å’–å•¡è©•é‘‘æ‰¹æ¬¡ Specialty Coffee Evaluation of Tainan 2017 lot.20161230,Taiwan,650,"æž—ä¿Šå‰( Lin, Chun-Chi)",8,10 kg,Specialty Coffee Association,2016,"June 6th, 2017","Lin, Che-Hao Krude æž—å“²è±ª",Yellow Bourbon,Washed / Wet,7.5,7.08,7.33,7.17,7.5,7.5,6.67,10,10,7.25,78,0,3,0,Green,4,"June 6th, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,650,650,650
1237,"14.3234352,-88.1848098",Arabica,intibuca,cafes finos de exportacion s de r.l.,cafes finos de exportacion s de r.l.,Honduras,various,cafes finos de exportacion s. de r.l.,,13-117-88,1350,Cooperativa Coaquil,275,2 kg,Instituto HondureÃ±o del CafÃ©,2014,"May 15th, 2014",CAFES FINOS DE EXPORTACION S DE R.L.,Pacas,Natural / Dry,6.83,7,6.67,7,7,6.83,10,10,10,6.67,78,0.11,2,0,Green,6,"May 15th, 2015",Instituto HondureÃ±o del CafÃ©,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1350,1350,1350
1238,"19.6643179,-156.0255674",Arabica,kona,eileen koyanagi,kona pacific farmers cooperative,United States (Hawaii),,,,KF 21614,,,5,100 lbs,Specialty Coffee Association,2014,"March 18th, 2014",Eileen Koyanagi,Hawaiian Kona,Natural / Dry,7.58,7.33,7.5,7.42,7.5,7.33,8,8.67,9.33,7.33,78,0.12,2,0,Green,3,"March 18th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
1239,NA,Arabica,oriente,juan luis alvarado romero,outspan guatemala s.a.,Guatemala,various,las americas,,11-951-136,4000 p.s.n.m,VARIOS,275,69 kg,Asociacion Nacional Del CafÃ©,2014,"February 7th, 2014",Juan Luis Alvarado Romero,Other,Washed / Wet,7.42,7.25,6.83,7.33,7,6.92,9.33,9.33,9.33,7.25,78,0.1,1,0,Green,2,"February 7th, 2015",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2
1240,"25.1146645,97.3683238",Arabica,yunnan,samuel eli gurel,greenhouse coffee china,China,hani,hani,,na,1200 meters,GreenHouse Coffee,16,2 kg,Specialty Coffee Association,2013,"September 5th, 2013",Samuel Eli Gurel,Typica,Washed / Wet,7.33,7.17,6.92,7.08,7.33,7,9.33,9.33,9.33,7.17,78,0.1,0,0,Green,28,"September 5th, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1200,1200,1200
1241,NA,Arabica,oriente,juan luis alvarado romero,"unex guatemala, s.a.",Guatemala,la union monte verde,beneficio ixchel,,11/9772/3,4300,"AGRICOLA MONTE VERDE, S.A.",250,69 kg,Asociacion Nacional Del CafÃ©,2013,"April 29th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7,6.83,6.83,7.17,6.67,6.83,10,10,10,6.67,78,0.11,3,0,Green,9,"April 29th, 2014",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
1242,"15.3625572,-92.2699449",Arabica,"motozintla, chiapas",alejandro garcia palacios,industrializadora de kaffee andes s.a. de c.v.,Mexico,finca la fortuna,finca la fortuna,,1506558883,850,MARIO GARCÃA,10,1 kg,AMECAFE,2012,"September 11th, 2012",ALEJANDRO GARCIA PALACIOS,Other,Washed / Wet,7.25,7.33,7,7,7.25,7.08,10,10,8,7.08,78,0.12,2,0,Green,7,"September 11th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,850,850,850
1243,NA,Arabica,,mao-heng chu,,Colombia,,,,03/01/1632,,,202,70 kg,Specialty Coffee Association,,"December 1st, 2011",Mao-Heng Chu,,,7.42,7.17,7,7.17,7.67,7.17,8.67,9.33,9.33,7.08,78,0.1,1,0,Green,3,"November 30th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,NA,NA,NA
